,Unnamed: 0,target_num,prod_num,similarity
0,0,3,3,1.0
1,1,3,6,0.8595691919326782
2,2,3,69,0.8461567163467407
3,3,3,2,0.8449677824974059
4,4,3,21,0.8233098387718201
5,5,3,986,0.8231169581413269
6,6,3,1028,0.8204326629638672
7,7,3,17,0.8160574436187744
8,8,3,22,0.8029410839080809
9,9,3,24,0.8026440143585205
10,10,3,28,0.7870940566062927
11,11,3,15,0.7808717489242554
12,12,3,952,0.7795572876930237
13,13,3,989,0.778479278087616
14,14,3,1229,0.7761074304580688
15,15,3,372,0.7739765048027039
16,16,3,1104,0.7709627747535706
17,17,3,410,0.765497624874115
18,18,3,147,0.7597718238830566
19,19,3,943,0.7597625255584717
20,20,3,23,0.7592716217041016
21,21,3,1241,0.7590432167053223
22,22,3,1458,0.7558501958847046
23,23,3,435,0.7556902766227722
24,24,3,1518,0.7554712891578674
25,25,3,836,0.7519252300262451
26,26,3,153,0.7515794038772583
27,27,3,350,0.7498286366462708
28,28,3,1283,0.7487944960594177
29,29,3,266,0.7477834820747375
30,30,3,437,0.7476099133491516
